"date","date_obs","heure_obs","temperature_eau_c"
2021-10-14,2021-10-14,"10:30:00",14.34
2021-10-14,2021-10-14,"10:30:00",14.34
2021-10-14,2021-10-14,"10:30:00",14.34
2021-10-14,2021-10-14,"10:30:00",14.34
2021-10-14,2021-10-14,"10:30:00",14.34
2021-10-14,2021-10-14,"10:30:00",14.34
2021-10-14,2021-10-14,"10:30:00",14.34
2021-10-14,2021-10-14,"10:30:00",14.34
2021-10-14,2021-10-14,"10:30:00",14.34
2021-10-14,2021-10-14,"10:30:00",14.34
2021-10-14,2021-10-14,"10:30:00",14.34
2021-10-14,2021-10-14,"10:30:00",14.34
2021-10-14,2021-10-14,"10:30:00",14.34
2018-09-28,2018-09-28,"13:45:00",14.2
2018-09-28,2018-09-28,"13:45:00",14.2
2018-09-28,2018-09-28,"13:45:00",14.2
2018-09-28,2018-09-28,"13:45:00",14.2
2018-09-28,2018-09-28,"13:45:00",14.2
2018-09-28,2018-09-28,"13:45:00",14.2
2018-09-28,2018-09-28,"13:45:00",14.2
2018-09-28,2018-09-28,"13:45:00",14.2
2018-09-28,2018-09-28,"13:45:00",14.2
2018-09-28,2018-09-28,"13:45:00",14.2
2018-09-28,2018-09-28,"13:45:00",14.2
2018-09-28,2018-09-28,"13:45:00",14.2
2018-09-28,2018-09-28,"13:45:00",14.2
2018-09-28,2018-09-28,"13:45:00",14.2
2018-09-28,2018-09-28,"13:45:00",14.2
2018-09-28,2018-09-28,"13:45:00",14.2
2018-09-28,2018-09-28,"13:45:00",14.2
2018-09-28,2018-09-28,"13:45:00",14.2
2018-09-28,2018-09-28,"13:45:00",14.2
2018-09-28,2018-09-28,"13:45:00",14.2
2018-09-28,2018-09-28,"13:45:00",14.2
2018-09-28,2018-09-28,"13:45:00",14.2
2018-09-28,2018-09-28,"13:45:00",14.2
2018-09-28,2018-09-28,"13:45:00",14.2
2018-09-28,2018-09-28,"13:45:00",14.2
2018-09-28,2018-09-28,"13:45:00",14.2
2018-09-28,2018-09-28,"13:45:00",14.2
2018-09-28,2018-09-28,"13:45:00",14.2
2018-09-28,2018-09-28,"13:45:00",14.2
2018-09-28,2018-09-28,"13:45:00",14.2
2018-09-28,2018-09-28,"13:45:00",14.2
2018-09-28,2018-09-28,"13:45:00",14.2
2018-09-28,2018-09-28,"13:45:00",14.2
2018-09-28,2018-09-28,"13:45:00",14.2
2018-09-28,2018-09-28,"13:45:00",14.2
2018-09-28,2018-09-28,"13:45:00",14.2
2018-09-28,2018-09-28,"13:45:00",14.2
2018-09-28,2018-09-28,"13:45:00",14.2
2018-09-28,2018-09-28,"13:45:00",14.2
2018-09-28,2018-09-28,"13:45:00",14.2
2018-09-28,2018-09-28,"13:45:00",14.2
2018-09-28,2018-09-28,"13:45:00",14.2
2020-09-09,2020-09-09,"12:15:00",13
2020-09-09,2020-09-09,"12:15:00",13
2020-09-09,2020-09-09,"12:15:00",13
2020-09-09,2020-09-09,"12:15:00",13
2020-09-09,2020-09-09,"12:15:00",13
2020-09-09,2020-09-09,"12:15:00",13
2020-09-09,2020-09-09,"12:15:00",13
2020-09-09,2020-09-09,"12:15:00",13
2020-09-09,2020-09-09,"12:15:00",13
2020-09-09,2020-09-09,"12:15:00",13
2020-09-09,2020-09-09,"12:15:00",13
2020-09-09,2020-09-09,"12:15:00",13
2020-09-09,2020-09-09,"12:15:00",13
2020-09-09,2020-09-09,"12:15:00",13
2020-09-09,2020-09-09,"12:15:00",13
2020-09-09,2020-09-09,"12:15:00",13
2020-09-09,2020-09-09,"12:15:00",13
2020-09-09,2020-09-09,"12:15:00",13
2020-09-09,2020-09-09,"12:15:00",13
2020-09-09,2020-09-09,"12:15:00",13
2020-09-09,2020-09-09,"12:15:00",13
2020-09-09,2020-09-09,"12:15:00",13
2020-09-09,2020-09-09,"12:15:00",13
2020-09-09,2020-09-09,"12:15:00",13
2020-09-09,2020-09-09,"12:15:00",13
2020-09-09,2020-09-09,"12:15:00",13
2020-09-09,2020-09-09,"12:15:00",13
2020-09-09,2020-09-09,"12:15:00",13
2020-09-09,2020-09-09,"12:15:00",13
2020-09-09,2020-09-09,"12:15:00",13
2020-09-09,2020-09-09,"12:15:00",13
2020-09-09,2020-09-09,"12:15:00",13
2020-09-09,2020-09-09,"12:15:00",13
2020-09-09,2020-09-09,"12:15:00",13
2020-09-09,2020-09-09,"12:15:00",13
2020-09-09,2020-09-09,"12:15:00",13
2020-09-09,2020-09-09,"12:15:00",13
2020-09-09,2020-09-09,"12:15:00",13
2020-09-09,2020-09-09,"12:15:00",13
2020-09-09,2020-09-09,"12:15:00",13
2020-08-24,2020-08-24,"11:15:00",14.9
2020-08-24,2020-08-24,"11:15:00",14.9
2020-08-24,2020-08-24,"11:15:00",14.9
2020-08-24,2020-08-24,"11:15:00",14.9
2020-08-24,2020-08-24,"11:15:00",14.9
2020-08-24,2020-08-24,"11:15:00",14.9
2020-08-24,2020-08-24,"11:15:00",14.9
2020-08-24,2020-08-24,"11:15:00",14.9
2020-08-24,2020-08-24,"11:15:00",14.9
2020-08-24,2020-08-24,"11:15:00",14.9
2020-08-24,2020-08-24,"11:15:00",14.9
2020-08-24,2020-08-24,"11:15:00",14.9
2020-08-24,2020-08-24,"11:15:00",14.9
2020-08-24,2020-08-24,"11:15:00",14.9
2020-08-24,2020-08-24,"11:15:00",14.9
2020-08-24,2020-08-24,"11:15:00",14.9
